1-(4-бромфенил)виолуровая кислота;1-(4-bromphenyl)violuric acid
D,L-гопантеновая кислота;D,L-hopantenic acid
L-треонил-L-лизил-L-пролил-L-аргинил-L-пролин;L-threonyl-L-lysyl-L-prolyl-L-arginyl-L-proline
абакавир;abacavir
абатацепт;abatacept
абемациклиб;abemaciclib
абиратерон;abiraterone
аброцитиниб;abrocitinib
абциксимаб;abciximab
авалглюкозидаза альфа;avalglucosidase alfa
аванафил;avanafil
аватромбопаг;avatrombopag
авелумаб;avelumab
авибактам;avibactam
агалсидаза альфа;agalsidase alfa
агалсидаза бета;agalsidase beta
агомелатин;agomelatine
адалимумаб;adalimumab
адамантилбромфениламин;adamantile bromphenyl amine
адапален;adapalene
адеметионин;ademetionine
аденин;adenine
аденозин;adenosine
аденозина фосфат;adenosine phosphate
адонизид;adonisid
азаметония бромид;azamethonium bromide
азапентацен;azapentacene
азатиоприн;azathioprine
азацитидин;azacitidine
азвудин;azvudine
азелаиновая кислота;azelaic acid
азеластин;azelastine
азенапин;asenapine
азилсартана медоксомил;azilsartan medoxomil
азитромицин;azithromycin
азоксимера бромид;azoximer bromide
азота закись;nitrous oxide
азтреонам;aztreonam
аира корневище;Calami rhizoma
акалабрутиниб;acalabrutinib
акарбоза;acarbose
аклидиния бромид;aclidinium bromide
акотиамид;acotiamide
акривастин;acrivastine
акситиниб;axitinib
активное вещество, используемое в гомеопатии;homeopathic drug
аланин;alanine
албендазол;albendazole
албутрепенонаког альфа;albutrepenonacog alfa
алверин;alverine
алгелдрат;algeldrate
алглюкозидаза альфа;alglucosidase alfa
алдеслейкин;aldesleukin
алектиниб;alectinib
алемтузумаб;alemtuzumab
алендроновая кислота;alendronic acid
алимемазин;alimemazine
алирокумаб;alirocumab
алискирен;aliskiren
алклометазон;alclometasone
аллантоин;allantoin
аллерген туберкулезный рекомбинантный в стандартном разведении;recombinant tuberculosis antigen in standard dilution
аллил изотиоцианат;allyl isothiocyanate
аллопуринол;allopurinol
алмазилат;almasilate
алоглиптин;alogliptin
алоэ;Aloe
алпелисиб;alpelisib
алпразолам;alprazolam
алпростадил;alprostadil
алтей;Althaea
алтеплаза;alteplase
алтея корень;Althaeae radix
алтея лекарственного трава;herba Althaeae officinalis
алфузозин;alfuzosin
альбумин человека;human albumin
альмитрин;almitrine
альтретамин;altretamine
альфа-глутамил-триптофан;alpha-glutamyl-tryptophan
альфа-дигидроэргокриптин;alpha-dihydroergocryptine
альфа-фетопротеин человеческий;human alpha-fetoprotein
альфа1-протеиназы ингибитор;alpha-1-proteinase inhibitor
альфакальцидол;alfacalcidol
алюминия гидроксид высушенный;dried aluminium hydroxide
алюминия гидроксида гель;aluminium hydroxide gel
алюминия гидроксида-магния карбонат гель высушенный;aluminium hydroxide-magnesium carbonate co-dried gel
алюминия фосфат;aluminium phosphate
амантадин;amantadine
амбазон;ambazone
амбризентан;ambrisentan
амброксол;ambroxol
амикацин;amikacin
амилаза;amylase
амилметакрезол;amylmetacresol
амилнитрит;amyl nitrite
аминобензойная кислота;aminobenzoic acid
аминоглутетимид;aminoglutethimide
аминодигидрофталазиндион натрия;aminodihydrophtalazinedione sodium
аминокапроновая кислота;aminocaproic acid
аминолевулиновая кислота;aminolevulinic acid
аминометилбензойная кислота;aminomethylbenzoic acid
аминосалициловая кислота;aminosalicylic acid
аминофенилмасляная кислота;aminophenylbutyric acid
аминофиллин;aminophylline
амиодарон;amiodarone
амисульприд;amisulpride
амитриптилин;amitriptyline
амифостин;amifostine
амлодипин;amlodipine
амми большая;Ammi major
аммиака раствор разведеный;dilute ammonia solution
аммония глицирризинат;ammonium glycyrrhizate
аммония хлорид;ammonium chloride
амоксициллин;amoxicillin
аморолфин;amorolfine
ампициллин;ampicillin
ампренавир;amprenavir
амтолметин гуацил;amtolmetin guacil
амфотерицин B;amphotericin B
анагрелид;anagrelide
анакинра;anakinra
анастрозол;anastrozole
анатоксин столбнячный очищенный адсорбированный жидкий;anatoxinum tetanicum purificatum adsorptum fluidum
анидулафунгин;anidulafungin
аниса масло;Anis oil
аниса плоды;Anisi fructus
анифролумаб;anifrolumab
антазолин;antazoline
анти-D иммуноглобулин человека;human anti-D immunoglobulin
антиингибиторный коагулянтный комплекс;anti-inhibitor coagulant complex
антитромбин III;antithrombin III
апалутамид;apalutamide
апиксабан;apixaban
апоморфин;apomorphine
апремиласт;apremilast
апрепитант;aprepitant
апротинин;aprotinin
аргинин;arginine
аргинина глутамат;arginine glutamate
арипипразол;aripiprazole
арника;Arnica
аронии черноплодной плоды;Aronia
артикаин;articaine
артишок полевой;Cynara
аскорбиновая кислота;ascorbic acid
аспарагиназа;asparaginase
аспарагиновая кислота;aspartic acid
аспартам;aspartame
асунапревир;asunaprevir
асфотаза альфа;asfotase alfa
асциминиб;asciminib
атазанавир;atazanavir
аталурен;ataluren
атезолизумаб;atezolizumab
атенолол;atenolol
атогепант;atogepant
атозибан;atosiban
атомоксетин;atomoxetine
аторвастатин;atorvastatin
атракурия безилат;atracurium besilate
атропин;atropine
аттапульгит;attapulgite
афатиниб;afatinib
афлиберцепт;aflibercept
ацеклофенак;aceclofenac
ацеметацин;acemetacin
аценокумарол;acenocoumarol
ацетазоламид;acetazolamide
ацетарсол;acetarsol
ацетиламинонитропропоксибензен;acetylaminonitropropoxybenzene
ацетиламиноянтарная кислота;acetylaminosuccinique acid
ацетилдигоксин;acetyldigoxin
ацетилкарнитин;acetylcarnitine
ацетилсалициловая кислота;acetylsalicylic acid
ацетилцистеин;acetylcysteine
ацикловир;aciclovir
ацитретин;acitretin
багульник болотный;Ledum palustre
бадана корневища;Bergeniae rhizomata
бадьян настоящий;Star anise
бадяга;Spongilla lacustris
базедоксифен;bazedoxifene
базилик;Basil
базиликсимаб;basiliximab
баклофен;baclofen
бактериофаг сальмонеллезный;Salmonella bacteriophage
балоксавир марбоксил;baloxavir marboxil
барицитиниб;baricitinib
бария сульфат;barium sulphate
батроксобин;batroxobin
бациллюс субтилис;Bacillus subtilis
бацитрацин;bacitracin
бевацизумаб;bevacizumab
бедаквилин;bedaquiline
безафибрат;bezafibrate
безводный сульфат натрия;sodium sulphate, anhydrous
безифлоксацин;besifloxacin
безлотоксумаб;bezlotoxumab
беклометазон;beclometasone
белатацепт;belatacept
белимумаб;belimumab
белумосудил;belumosudil
бемипарин натрия;bemiparin sodium
бемпедоевая кислота;bempedoic acid
беназеприл;benazepril
бендазол;bendazol
бендамустин;bendamustine
бензалкония хлорид;benzalkonium chloride
бензатина бензилпенициллин;benzathine benzylpenicillin
бензгидрилпиперазинилбутилметилксантина сукцинат;benzhydrylpiperazinyl butylmethylxanthine succinate
бензидамин;benzydamine
бензилбензоат;benzyl benzoate
бензилдиметил-миристоиламино-пропиламмоний;benzyldimethyl-myristoylamino-propylammonium
бензилникотинат;benzylnicotinat
бензилпенициллин;benzylpenicillin
бензобарбитал;benzobarbital
бензоил пероксид;benzoyl peroxide
бензойная кислота;benzoic acid
бензокаин;benzocaine
бензоксония хлорид;benzoxonium chloride
бенрализумаб;benralizumab
бенсеразид;benserazide
бенфотиамин;benfotiamine
бенциклан;bencyclane
берактант;beractant
березовый гриб (чага);Inonotus obliguus
березы листья;Birch leaf
бессмертника песчаного цветки;Helichrysi flos
бета-аланин;beta-alanine
бетагистин;betahistine
бетаина гидрохлорид;betaine hydrochloride
бетакаротен;betacarotene
бетаксолол;betaxolol
бетаметазон;betamethasone
бетаметазона динатрия фосфат;betamethasone sodium phosphate
биапенем;biapenem
биброкатол;bibrocathol
бивалирудин;bivalirudin
бикалутамид;bicalutamide
биклотимол;biclotymol
биктегравир;bictegravir
биластин;bilastine
биматопрост;bimatoprost
биниметиниб;binimetinib
биотин;biotin
бипериден;biperiden
бисакодил;bisacodyl
бисопролол;bisoprolol
бифидобактерии бифидум;Bifidobacterium bifidum
бифоназол;bifonazole
блеомицин;bleomycin
блинатумомаб;blinatumomab
бовактант;bovactant
бовгиалуронидаза азоксимер;bovhyaluronidase azoximer
бозентан;bosentan
бозутиниб;bosutinib
борная кислота;boric acid
бортезомиб;bortezomib
ботулинический токсин типа a;botulinum toxin A
ботулинический токсин типа А - гемагглютинин комплекс;botulinum toxin A - haemagglutinin complex
боцепревир;boceprevir
боярышника плоды;Crataegus fruit
брекспипразол;brexpiprazole
брентуксимаб ведотин;brentuximab vedotin
бриварацетам;brivaracetam
бриллиантовый зеленый;brilliant green
бримонидин;brimonidine
бринзоламид;brinzolamide
бролуцизумаб;brolucizumab
бромазепам;bromazepam
бромгексин;bromhexine
бромдигидрохлорфенилбензодиазепин;bromdihydrochlorphenylbenzodiazepine
бромелаины;bromelains
бромизовал;bromisoval
бромкамфора;bromcamphor
бромокриптин;bromocriptine
бромфенак;bromfenac
брусника;Cowberry
будесонид;budesonide
бузина;Sambucus
булевиртид;bulevirtide
бупивакаин;bupivacaine
бупренорфин;buprenorphine
бупропион;bupropion
бусерелин;buserelin
буспирон;buspirone
бусульфан;busulfan
бутамбен;butamben
бутамират;butamirate
бутилгидрокситолуол;butylated hydroxytoluene
бутоконазол;butoconazole
буторфанол;butorphanol
буфексамак;bufexamac
БЦЖ живые;BCG live
вакцина (адсорбированная) против гепатита А (инактивированная) и гепатита В рекомбинантная;hepatitis A (inactivated) and hepatitis B (rDNA) vaccine (adsorbed)
вакцина вируса папилломы человека бивалентная, рекомбинантная;human papillomavirus bivalent vaccine, recombinant
вакцина вируса папилломы человека квадривалентная, рекомбинантная;human papillomavirus quadrivalent vaccine, recombinant
вакцина дифтерийная, столбнячная, коклюшная и рекомбинантная против гепатита В (абсорбированная);diphtheria, tetanus, pertussis and hepatitis B (rDNA) vaccine (adsorbed)
вакцина дифтерийно-столбнячная, коклюшная (адсорбированная);diphtheria, tetanus and pertussis vaccine (adsorbed)
вакцина для лечения и диагностики гонококковая;gonococcal vaccine for the treatment and diagnosis
вакцина для профилактики COVID-19;vaccine for the prevention of COVID-19
вакцина для профилактики бешенства;rabies vaccine
вакцина для профилактики вирусного гепатита B, дифтерии, коклюша, полиомиелита и столбняка;diphtheria, tetanus, pertussis (acellular, component), hepatitis B (rDNA), poliomyelitis (inactivated) vaccine (adsorbed)
вакцина для профилактики вирусного гепатита А;hepatitis A vaccine
вакцина для профилактики гриппа (живая);influenza vaccine, alive
вакцина для профилактики гриппа инактивированная;inactivated influenza vaccine
вакцина для профилактики дифтерии (с уменьшенным содержанием антигена), коклюша (с уменьшенным содержанием антигена, бесклеточная) и столбняка, адсорбированная;diphtheria (reduced antigen content), pertussis (reduced antigen content, acellular) and tetanus vaccine adsorbed
вакцина для профилактики дифтерии и столбняка адсорбированная, коклюша ацеллюлярная, полиомиелита инактивированная и инфекций, вызываемых Haemophilus influenzae тип b конъюгированная;diphtheria and tetanus adsorbed, pertussis acellular, poliomyelitis inactivated and Haemophilus influenzae type b vaccine conjugated
вакцина для профилактики дифтерии, коклюша (бесклеточная) и столбняка;diphtheria, tetanus and pertussis (acellular, component) vaccine (adsorbed)
вакцина для профилактики дифтерии, столбняка, коклюша (бесклеточная), гепатита B, полиомиелита (инактивированная) и инфекции, вызываемой Haemophilus influenzae тип b;diphtheria, tetanus, pertussis (acellular, component), hepatitis B (rDNA), poliomyelitis (inactivated) and haemophilus type b conjugate vaccine (adsorbed)
вакцина для профилактики желтой лихорадки;yellow fever prevention vaccine
вакцина для профилактики кори и паротита;measles and mumps virus vaccine (live)
вакцина для профилактики кори, краснухи и паротита;measles, mumps and rubella virus vaccine live
